,STATION_ID,NUM_DOCKS_AVAILABLE,NUM_MECHANICAL,NUM_E_BIKES,NAME,LAT,LON,FREQUENCY_AVAILABLE_DOCKS
225,39776330,11,4,1,Buzenval - Vignoles,48.85385817168762,2.400004081428051,0.6875
1407,12225289563,26,0,2,Béranger - Félix Faure,48.80404828621485,2.2848263373723436,0.9286
1289,1062827573,27,2,0,Bézout - Général Leclerc,48.82884804502439,2.3285973072052,0.931
31,36473,13,0,0,Cadet - La Fayette,48.875601632672,2.3435704037547,1.0
1267,1057758764,31,5,1,Cadix - Hameau,48.8340107632249,2.289516180753708,0.8378
132,27414512,31,2,7,Caire - Dussoubs,48.86785342111862,2.349364310503006,0.775
405,66491408,32,0,0,Calmette,48.88104925098552,2.424993216991425,1.0
654,128841079,24,3,8,Cambon - Rivoli,48.866143390992,2.3251800647137,0.6857
341,54000612,39,0,1,Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,0.975
321,54000589,59,8,0,Cambronne - Mademoiselle,48.843277330035214,2.30230766886348,0.8806
475,82455731,35,21,5,Cambronne - Villa Croix Nivert,48.845847561366,2.3017574474216,0.5738
1077,620676855,4,15,3,Camille Groult - Guy Môquet,48.787482746521306,2.3976725712418556,0.1818
1160,653144717,18,0,6,Camille Risch - Paul Armangot,48.774703,2.373685,0.75
972,391845823,15,1,9,Candale - Mehul,48.8893935006175,2.414379715919495,0.6
1382,11004671601,15,8,2,Capitaine Glarner - Gabriel Péri,48.902449900418745,2.3304807533425724,0.6
312,54000573,24,14,6,Cardinal Lavigerie,48.832934193699835,2.402636749399156,0.5455
882,235513935,23,0,4,Carducci - Place Hannah Arendt,48.877436681515796,2.3860743641853337,0.8519
817,213691137,30,0,0,Carnot - Général Lanrezac,48.8754438707356,2.2938242935035684,1.0
1079,631773910,0,20,5,Carnot - Pâquerettes,48.79592939432515,2.4261841177940373,0.0
258,49039283,15,0,3,Carpeaux - Place Jacques Froment,48.8906542,2.3309428,0.8333
1096,653046369,32,2,2,Carrefour Pleyel,48.92034156960326,2.3438543826341625,0.8889
1389,11266280626,30,1,0,Cartier Bresson - Denis Papin,48.902616,2.397814,0.9677
889,251039991,20,1,3,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,0.8333
799,213683992,4,45,2,Cauchy - Cévennes,48.8433725710224,2.275132834911347,0.0784
710,129101773,39,0,5,Caulaincourt - Place Constantin Pecqueur,48.8896779050281,2.33817871442611,0.8864
680,129026597,14,0,6,Caumartin - Provence,48.874422773426545,2.3284685611724854,0.7
701,129086648,38,1,3,Ceinture du Lac Inferieure - Saint-Cloud,48.86218070933143,2.2617871686816216,0.9048
235,41610121,11,12,4,Censier - Jardin des Plantes,48.84107178161383,2.355475388467312,0.4074
554,100783424,32,27,7,Censier - Santeuil,48.840658921385234,2.3537524044513702,0.4848
902,263610599,27,8,7,Centenaire - Sorins,48.85853523359734,2.4273508787155156,0.6429
262,49341735,37,0,4,Centquatre,48.88933353845543,2.3707854375243187,0.9024
751,210395439,3,17,3,Centre Georges Pompidou,48.861419,2.352581,0.1304
1127,653094517,36,0,0,Cesaria Evora - Rosa Parks,48.89717672825043,2.3745173960924144,1.0
802,213685090,11,13,3,Cevennes - Bergers,48.84240765130395,2.281037718057633,0.4074
1347,2514995690,2,11,12,Chabanais - Petits Champs,48.86703740186721,2.336716018617153,0.08
632,121025345,10,0,0,Chabrol - d'Hauteville,48.87701838803332,2.3513179644942284,1.0
662,128889359,20,16,4,Champ de Mars - Cler,48.856691550115315,2.306646779179573,0.5
838,213922790,46,1,0,Champeaux - Gallieni,48.864459134684644,2.4161778017878532,0.9787
430,76199461,28,1,2,Championnet - Vauvenargues,48.89401874744574,2.3319872841238976,0.9032
228,39882420,22,0,0,Championnet.,48.8953643,2.3498166,1.0
1319,1074347188,19,1,0,Champs de Manoeuvre - Cartoucherie,48.835261,2.447974,0.95
1208,1015246367,25,0,0,Champs-Elysees - Bassano,48.87181180781605,2.3002389818429947,1.0
1233,1057061349,19,8,4,Chancé Milly - Cimetière Communal Sud,48.89687189382465,2.303922325372696,0.6129
1013,475524450,8,10,6,Chanzy - Sud-Est,48.888912037698766,2.195632159709931,0.3333
273,49859500,6,8,3,Charenton - Diderot,48.846171461187,2.3793068155646,0.3529
18,7268,17,9,5,Charenton - Jardiniers,48.833821772922654,2.394692664106047,0.5484
464,82421013,16,10,3,Charenton - Place du Col Bourgoin,48.844867319554,2.3825789350545,0.5517
576,101011685,0,23,1,Charenton - Prague,48.848175129981,2.3763584494312,0.0
107,27363096,2,20,8,Charenton - Wattignies,48.83667579640627,2.391795855555629,0.0667
541,97824043,6,11,3,Charentonneau - Maisons Alfort,48.809932980484355,2.443288456496946,0.3
72,15299574,19,25,1,Charles Delescluze,48.85242200848887,2.380632497370243,0.4222
220,39535340,19,5,6,Charles Frérot - Albert Guilpin,48.8155839183714,2.3505029082298283,0.6333
1018,478385490,26,0,2,Charles Gide - Fort de Bicêtre ,48.8071937956922,2.353984415531159,0.9286
1229,1057003116,10,17,1,Charles Lecocq - Lecourbe,48.84044,2.294867,0.3571
733,131094294,15,3,8,Charles Tillon - Cimetière Communal,48.91844023641836,2.3935630917549138,0.5769
936,314829539,31,2,16,Charles de Gaulle - Beauté,48.83649602312711,2.479562651149885,0.6327
975,402212574,23,5,0,Charles de Gaulle - Graviers,48.88315175918637,2.2648814320564274,0.8214
948,339797666,21,3,2,Charles de Gaulle - Jean Lolive,48.8932644350857,2.4126765131950383,0.8077
890,252301607,13,8,1,Charles de Gaulle - Madrid,48.884432270368,2.2608044743538,0.5909
947,338853596,19,2,4,Charles de Gaulle - Orléans ,48.88092225101522,2.271581590175629,0.76
901,262607058,27,3,3,Charles de Gaulle - Plateau de Vanves,48.82233088973263,2.298571803412886,0.8182
1425,16043242148,19,1,4,Charles de Gaulle - Rue de l'Alma,48.896620592993,2.252313240191,0.7917
1361,2515802454,15,7,3,Charles de Gaulle - Sablonville,48.87991924860035,2.2763770446181297,0.6
163,27415371,29,2,2,Charonne - Alexandre Dumas,48.85607741505607,2.394869327545166,0.8788
402,66491405,21,2,1,Charonne - Avron,48.85160266522164,2.398403047037931,0.875
868,221036108,45,0,1,Charonne - Bureau,48.854176,2.396093,0.9783
364,55664548,19,12,2,Charonne - Faubourg Saint-Antoine,48.852191909696,2.3740932717919,0.5758
105,27363029,25,3,2,Charonne - Philippe-Auguste,48.855603162026,2.39054639062,0.8333
15,7247,21,2,0,Charonne - Pierre Bayle,48.858445054261914,2.39039812238911,0.913
1041,516709288,19,0,1,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,0.95
878,230877798,31,1,0,Chartres - La Charbonnière,48.8847601,2.3534657,0.9688
1161,653146273,4,13,1,Chausson - Gabriel Péri,48.921891003481115,2.2952306270599365,0.2222
362,54001189,18,4,2,Chaussée d'Antin - Haussmann,48.87243,2.33359,0.75
438,80101533,26,3,3,Chazelles - Courcelles ,48.879406604954,2.3034455627202988,0.8125
1274,1062206433,17,2,1,Chemin Vert - Fraternité,48.877141208359035,2.4461565166711807,0.85
777,210744286,37,4,3,Chemin Vert - Saint-Maur,48.86112461407359,2.381299026310444,0.8409
1253,1057354004,2,20,5,Chemin de Bretagne,48.825147,2.25936,0.0741
587,101742129,20,9,6,Cherche-Midi - Hôpital Necker,48.84461063309956,2.317914068698883,0.5714
44,52329,34,3,0,Chernoviz - Raynouard,48.8569864146289,2.282173218142987,0.9189
578,101015227,6,24,2,Chevaleret - Louise Weiss,48.83258651335057,2.371211388119954,0.1875
788,213676294,11,7,1,Chevaleret - Tolbiac,48.82941,2.375934,0.5789
19,7295,10,2,3,Chevreuse - Montparnasse,48.841739161230905,2.331552216736739,0.6667
1055,569583918,31,6,6,Choiseul - Quatre Septembre ,48.8699355331869,2.3359975218772893,0.7209
229,39887632,19,6,0,Choisy - Malmaisons,48.821919702956144,2.3633468834070914,0.76
996,452341449,23,2,1,Choisy - Tolbiac,48.82591155587,2.3602393269539,0.8846
77,15310509,14,2,1,Choron - Martyrs,48.877851443502536,2.3396701365709305,0.8235
617,102341385,18,4,0,Château - Bineau,48.890404028589806,2.270106375217438,0.8182
1291,1062844489,21,7,5,Château - Place de Catalogne,48.836805542262134,2.3185293003916745,0.6364
491,82567101,0,0,0,Château - République,48.862923800596,2.4155035614967,
1164,653152142,12,1,6,Château - République,48.905928,2.253629,0.6316
396,66491396,34,15,2,Château de Vincennes,48.84423193255657,2.439209537709179,0.6667
1412,13341879803,4,12,6,Châteaudun - Place de la Liberté,48.90970830301211,2.2454486480600626,0.1818
1235,1057081237,24,0,0,Cimetière d'Issy-les-Moulineaux,48.81769977392539,2.260931208729744,1.0
1232,1057045129,25,12,2,Cimetière de Boulogne-Billancourt,48.830764,2.252024,0.641
1069,596813170,15,0,0,Cimetière de Fontenay-sous-Bois,48.84706173362218,2.4787822365760808,1.0
601,102309973,41,0,1,Cimetière de Montmartre,48.886472466141925,2.3328901827335358,0.9762
1250,1057324291,55,0,3,Cimetière de Montrouge,48.822009,2.322188699,0.9483
535,95845524,9,6,1,Cité Riverin - Château d'Eau,48.870702423554306,2.358739863900845,0.5625
